src_ip,dst_ip,protocol,src_port,dst_port,pkt_len
10.0.0.213,224.0.0.251,UDP,5353.0,5353.0,119
10.0.0.213,224.0.0.252,UDP,58113.0,5355.0,75
0.0.0.0,224.0.0.1,OTHER,,,50
0.0.0.0,224.0.0.1,OTHER,,,60
172.178.240.162,10.0.0.121,TCP,443.0,7978.0,66
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,66
172.178.240.162,10.0.0.121,TCP,443.0,7978.0,1065
10.0.0.121,172.178.240.162,TCP,7978.0,443.0,66
10.0.0.15,10.0.0.255,UDP,137.0,137.0,92
172.178.240.162,10.0.0.121,TCP,443.0,7978.0,66
10.0.0.121,172.178.240.162,TCP,7978.0,443.0,66
0.0.0.0,224.0.0.1,OTHER,,,60
10.0.0.121,224.0.0.22,OTHER,,,54
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,1287
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,468
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,73
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,75
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,174
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1287
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,80
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,74
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,75
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,74
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,74
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,74
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,74
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,75
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,75
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
